module,batch_size,shape,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,mcu_critical_role,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s
elemul,1,[64],7.637023,189.972794,24.875243,0.053768000,0.007040440,0.000283030,p0,0.048529341,0.005238484,0.048539723,0.005228102
matmul,1,"[4,16]x[16,16]",8.545356,177.529469,20.774964,0.064854000,0.007589385,0.000365314,p0,0.037376641,0.027477704,0.037414414,0.027439931
exp,1,[64],4.045454,328.185403,81.124484,0.100854000,0.024930203,0.000307308,p1,0.098726436,0.002127439,0.100221122,0.000632753
sigmoid,1,[64],1.145596,364.650166,318.305987,0.117650000,0.102697607,0.000322638,p1,0.115436429,0.002213456,0.116999568,0.000650317
gelu,1,[64],1.411915,397.007816,281.183866,0.158979000,0.112598110,0.000400443,p0,0.156095984,0.002882835,0.157874411,0.001104408
softmax,1,"[16,4]",0.335893,215.123463,640.452091,0.121167000,0.360730798,0.000563244,p0,0.118991149,0.002176268,0.120544460,0.000622957
elemul,2,[128],7.373344,145.903855,19.788016,0.055818000,0.007570242,0.000382567,p1,0.047265626,0.008552790,0.047281648,0.008536768
matmul,2,"[8,16]x[16,16]",4.961828,121.435352,24.473916,0.046816000,0.009435233,0.000385522,p1,0.038172822,0.008643202,0.038213913,0.008602111
exp,2,[128],6.204741,398.051965,64.152876,0.157379000,0.025364315,0.000395373,p0,0.153335362,0.004044071,0.156291663,0.001087770
sigmoid,2,[128],2.026441,666.894097,329.096277,0.208195000,0.102739250,0.000312186,p0,0.203796596,0.004398381,0.207407587,0.000787390
gelu,2,[128],2.231748,544.654919,244.048605,0.247190000,0.110760727,0.000453847,p1,0.242799758,0.004390721,0.246064090,0.001126389
softmax,2,"[32,4]",0.547109,431.100126,787.960108,0.191818000,0.350602848,0.000444950,p0,0.188038596,0.003779040,0.191121645,0.000695991
elemul,4,[256],7.833116,209.330272,26.723755,0.061487000,0.007849622,0.000293732,p1,0.050908018,0.010578764,0.050950944,0.010535838
matmul,4,"[16,16]x[16,16]",7.260403,149.296344,20.563092,0.055430000,0.007634562,0.000371275,p1,0.046014329,0.009415836,0.046076462,0.009353703
exp,4,[256],10.343624,896.474859,86.669320,0.281953000,0.027258628,0.000314513,p0,0.275206987,0.006745856,0.281274250,0.000678593
sigmoid,4,[256],3.382503,985.656112,291.398452,0.358492000,0.105984240,0.000363709,p1,0.351132066,0.007359997,0.357723543,0.000768520
gelu,4,[256],3.854673,1090.755324,282.969601,0.446240000,0.115765976,0.000409111,p1,0.438868885,0.007371541,0.445500823,0.000739603
softmax,4,"[64,4]",0.882980,617.298789,699.108195,0.330303000,0.374077413,0.000535078,p0,0.322999502,0.007303441,0.329465329,0.000837614
