module,batch_size,shape,measurement_kind,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_critical_role,mcu_p0_elapsed_s,mcu_p1_elapsed_s,mcu_hp_elapsed_s,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s,mcu_p0_comm_s,mcu_p1_comm_s,mcu_hp_comm_s,mcu_p0_local_s,mcu_p1_local_s,mcu_hp_local_s,mcu_p0_protocol_s,mcu_p1_protocol_s,mcu_p0_write_s,mcu_p1_write_s,mcu_p0_send_msgs,mcu_p0_recv_msgs,mcu_p1_send_msgs,mcu_p1_recv_msgs,mcu_hp_send_msgs,mcu_hp_recv_msgs,mcu_p0_send_bytes,mcu_p0_recv_bytes,mcu_p1_send_bytes,mcu_p1_recv_bytes,mcu_hp_send_bytes,mcu_hp_recv_bytes,crypten_rank0_median_s,crypten_rank1_median_s,mcu_times_s,crypten_times_s,plain_times_s,verify
elemul,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.058170000,0.007650906,0.000306176,7.603021,189.988765,24.988588,p0,0.058170000,0.011828000,0.000299000,0.051061286,0.007108376,0.051071606,0.007098056,0.051061286,0.000443822,0.000293743,0.007108376,0.011384645,0.000005712,0.051071606,0.000454262,0.007098056,0.011374205,1,1,1,1,2,2,1042,521,1042,521,1042,2084,0.007650906,0.007635710,0.061911000;0.058170000;0.056328000,0.007411162;0.007650906;0.007788928,0.000306176;0.000385716;0.000284570,[verify] elemul ok: 64/64
matmul,1,"[4,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.053644000,0.008494955,0.000448239,6.314807,119.677225,18.951843,p0,0.053644000,0.010317000,0.000285000,0.046743986,0.006899792,0.046785698,0.006858080,0.046743986,0.000380770,0.000275663,0.006899792,0.009935977,0.000009369,0.046785698,0.000411020,0.006858080,0.009905727,1,1,1,1,2,2,2578,521,2578,521,1042,5156,0.008397987,0.008494955,0.056512000;0.053279000;0.053644000,0.008472630;0.009281915;0.008494955,0.000346162;0.000462699;0.000448239,[verify] matmul ok: 64/64
exp,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.242913000,0.023899216,0.000360335,10.164057,674.131014,66.324992,p0,0.242913000,0.188304000,0.190292000,0.239836142,0.003076775,0.242136787,0.000776130,0.239836142,0.185357992,0.188925041,0.003076775,0.002945751,0.001367287,0.242136787,0.187559887,0.000776130,0.000743856,6464,192,6464,192,384,12928,58176,832,58176,832,1664,116352,0.023883785,0.023899216,0.247929000;0.242913000;0.232419000,0.023899216;0.022782211;0.025716328,0.000368731;0.000331718;0.000360335,"[verify] Exp ok: n=64, max_err=3.115e-11"
sigmoid,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.260499000,0.092132749,0.000372870,2.827431,698.632232,247.090807,p1,0.210278000,0.260499000,0.212235000,0.257099696,0.003399798,0.259516679,0.000982815,0.206849652,0.257099696,0.210704538,0.003428451,0.003399798,0.001530629,0.209253335,0.259516679,0.001024768,0.000982815,6528,256,6528,256,512,13056,58752,1408,58752,1408,2816,117504,0.092110485,0.092132749,0.265322000;0.260499000;0.255043000,0.098770365;0.091961333;0.092132749,0.000372870;0.000311064;0.000479180,"[verify] Sigmoid ok: n=64, max_err=8.549e-15"
gelu,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.281508000,0.097636815,0.000466055,2.883216,604.023135,209.496338,p0,0.281508000,0.227948000,0.229318000,0.278189034,0.003318650,0.280449131,0.001058553,0.278189034,0.224729845,0.227850009,0.003318650,0.003217947,0.001467883,0.280449131,0.226937407,0.001058553,0.001010385,6592,320,6592,320,640,13184,59840,1984,59840,1984,3968,119680,0.097604899,0.097636815,0.265942000;0.290034000;0.281508000,0.098080926;0.097510707;0.097636815,0.000466055;0.000498159;0.000303372,"[verify] Gelu ok: n=64, max_err=7.161e-12"
softmax,1,"[16,4]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.242320000,0.330200456,0.000507448,0.733857,477.526762,650.707967,p1,0.198837000,0.242320000,0.200963000,0.239506423,0.002814061,0.241676636,0.000643848,0.195845478,0.239506423,0.199617637,0.002991611,0.002814061,0.001345231,0.198149173,0.241676636,0.000687916,0.000643848,6480,256,6480,256,512,12960,58320,1408,58320,1408,2816,116640,0.330084248,0.330200456,0.256074000;0.237673000;0.242320000,0.365296457;0.330200456;0.327684863,0.000946092;0.000507448;0.000492154,"[verify] Softmax ok: n=16, max_err=7.550e-15"
elemul,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.051890000,0.007794738,0.000378992,6.657055,136.915818,20.567025,p0,0.051890000,0.011219000,0.000314000,0.045685842,0.006203774,0.045702525,0.006187091,0.045685842,0.000436497,0.000305578,0.006203774,0.010782922,0.000008726,0.045702525,0.000454694,0.006187091,0.010764725,1,1,1,1,2,2,2066,1033,2066,1033,2066,4132,0.007786925,0.007794738,0.052856000;0.051165000;0.051890000,0.007794738;0.008236225;0.007020114,0.000378992;0.000688528;0.000273333,[verify] elemul ok: 128/128
matmul,2,"[8,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.053345000,0.007156058,0.000398823,7.454523,133.756077,17.942942,p0,0.053345000,0.010935000,0.000370000,0.046659098,0.006685772,0.046700200,0.006644670,0.046659098,0.000492970,0.000341038,0.006685772,0.010441767,0.000029107,0.046700200,0.000530053,0.006644670,0.010404684,1,1,1,1,2,2,3090,1033,3090,1033,2066,6180,0.006807255,0.007156058,0.051502000;0.053345000;0.061169000,0.006931238;0.007642413;0.007156058,0.000387370;0.000398823;0.000467499,[verify] matmul ok: 128/128
exp,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.456090000,0.024652384,0.000326068,18.500848,1398.757320,75.605040,p0,0.456090000,0.408781000,0.411046000,0.450656728,0.005433532,0.455283651,0.000806609,0.450656728,0.403618317,0.408058520,0.005433532,0.005163171,0.002987731,0.455283651,0.408017894,0.000806609,0.000763594,12928,384,12928,384,768,25856,116352,1664,116352,1664,3328,232704,0.024537558,0.024652384,0.456090000;0.410064000;0.461175000,0.024517190;0.027073228;0.024652384,0.000356930;0.000292380;0.000326068,"[verify] Exp ok: n=128, max_err=5.230e-11"
sigmoid,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.473219000,0.097171181,0.000309535,4.869952,1528.806111,313.926312,p0,0.473219000,0.408115000,0.410461000,0.468197823,0.005021572,0.472475432,0.000743963,0.468197823,0.403041837,0.407697810,0.005021572,0.005072748,0.002763373,0.472475432,0.407395107,0.000743963,0.000719478,13056,512,13056,512,1024,26112,117504,2816,117504,2816,5632,235008,0.097106459,0.097171181,0.470080000;0.473219000;0.477338000,0.096730952;0.097171181;0.097386137,0.000309535;0.000340156;0.000298873,"[verify] Sigmoid ok: n=128, max_err=8.549e-15"
